rol	facultad	edad	dispositivos	uso	plus	p1	p2	p3	p4	p5
Profesor	Facultad Internacional de Innovación PUCE – Icam	45-54 años	Computadora,	4	Si	It can be a useful tool if you know how to use and take advantage.	To propose the structure of a document.	The information is simple, valid and common, but it does not serve as the only document.	Good	Students must be guided and accompanied in the use of this tool, so that it is useful and practical
Profesor	Facultad de Ingeniería	45-54 años	Computadora,	8	No	It is a tool that helps a lot as an assistant to complete tasks and search for answers.	Text writing and programming.	In which it is required as answers made. In these cases the AI ​​model is not optimal.	I use it as another work tool.	I would say neutrally. Personally I am Early adopter of many technologies. Chatgpt is so alone one more tool of the many I use.
Profesor	Facultad de Ciencias Exactas y Naturales	45-54 años	Computadora,Teléfono móvil,	4	No	When well used, it can be a useful support for teaching	Information search, elaboration of text synthesis or study aid (flashcards)	Consultations on specific topics that are lent to confusion if the script provided to chatgpt is not clear	Interesting, it has been a positive experience to see students use it with criteria	None, I have used it to know the tool and see how it works
Personal Administrativo	Direcciones Administrativas	25-34 años	Teléfono móvil,	1	No	It is a curious tool that depending on the user can be used for plagiarism or falsification purposes	entertainment	philosophy	fun	No impact
Profesor	Facultad de Arquitectura, Diseño y Artes	45-54 años	Computadora,Teléfono móvil,Tableta,	2	No	An open way of accessing important and immediate information on various topics.	Organization of classes, clarification of concepts, comparison of criteria and theories.	I have not faced this situation.	I have not used it at the university. I use it in the nights occasionally from my home.	It has allowed me to deepen complex issues and organize knowledge.
Profesor	Facultad de Ciencias Exactas y Naturales	45-54 años	Computadora,	1	No	It can be an excellent tool to save time when used with objectives directed to learning, however its misuse can lead to impoverishing the quality of education	I do not use it, I have only explored how it works since I have found jobs done by students with this tool	Tasks focused on data or processes analysis end up being a collection of outdated and imprecise data (which shows the AI) that therefore do not contribute to the development of the student's analysis and discussion capabilities	I do not use it	At the moment I have only seen misuse by students
Profesor	Facultad de Medicina	35-44 años	Computadora,	5	No	Any technological advance that helps optimize time is welcome, the difference is to know how to use it, in my experience as a teacher when using it, some aspects must be validated, because not everything is true of what is obtained.	In the medical field, seeking to improve evaluation methodologies.	There is still no specific software development of the medical area.	It helps optimize time, provided that a specific topic is already dominated, the errors that there are, by validating for example when you request that you prepare questions for an evaluation, come with errors and I can correct them. It also does not argue the correct answer of those requested clearly.	If the tool is known, it is very good. I am lucky to have a computing phd that dominates the subject and helps me in what I want to get. Therefore, if you want to include positively in learning, they must be trained with qualified personnel on the subject.
Profesor	Facultad de Enfermería	45-54 años	Computadora,	5	No	It is an effective and rapid tool that supports the consultation of various situations not only academic.	Guide to prepare administrative management processes.	Specifically in health areas, the answers are not so valid	Regular	Has facilitated labor work
Profesor	Facultad Internacional de Innovación PUCE – Icam	55-64 años	Computadora,	3	No	Excellent tool, you have the opportunity to learn when interacting, specifying your knowledge and answers to diverse questions and adding several.	Philosophical talks, answers to questions with cross answers, code development and proposals.	None. I understand the tool.	Interesting to discover potentialities and try to locate it as a tool or replacement.	He has facilitated things.
Profesor	Facultad de Comunicación, Lingüística y Literatura	35-44 años	Computadora,	1	No	Unreliable in its sources and nothing reliable in the links that it recommends	To summarize long or poor writings, extensive academic articles, etc ...	Search for reliable sources, correct quotes, reliable sources, etc ...	My students thought that with copying and hitting what Chat GPT said they could approve the subject	At the moment it has not influenced. I consider that you still lack development.
Profesor	Facultad de Ciencias Humanas	45-54 años	Computadora,	1	Si	Demonstrates the advance of science	To improve the writing and syntax of a text	To improve the writing and syntax of a text	N/A	Improves the quality of a writing process
Profesor	Facultad de Arquitectura, Diseño y Artes	55-64 años	Teléfono móvil,	1	No	It is useful to start an investigation	Fast research in the classroom on various topics	Drafting of research documents	very little	It cannot be said yet, it is a recent technology
Personal Administrativo	Facultad de Medicina	25-34 años	Computadora,	1	No	I don't know	I don't know	I don't know	I don't know	I don't know
Personal Administrativo	Direcciones Administrativas	25-34 años	Computadora,Teléfono móvil,	8	No	Learning tool	New functions of Excel, SQL, writing of cards and memoranda	You can explore several disciplines.	I have made my job faster	I have made improvements to processes and knowledge in my job.
Profesor	Facultad de Jurisprudencia	35-44 años	Computadora,Teléfono móvil,	6	No	Useful. It can facilitate many things.	Preparation of class exercises. Preliminary information search on a specific topic. Selection of topics for jobs.	Find precise, scientific and deep information about specific topics.	Positive	Still in any significant way, although eventually and potentially.
Profesor	Facultad de Medicina	45-54 años	Computadora,	4	No	It is useful for its speed	Some specific answers	When there is a lot of complexity	Little, the Internet does not give to hold the questions	Little start
Profesor	Facultad de Psicología	45-54 años	Computadora,	1	No	It is a reality and we must learn to use and use it for the teaching-learning process	still in none	Duties as essays	I still don't use it	At the moment there is much suspicion and questioning by the teaching staff
Personal Administrativo	Direcciones Administrativas	35-44 años	Teléfono móvil,Computadora,	1	No	It is a tool that allows you to develop content without looking for information on the Internet	Text writing	To manage agendas	Save time when generating content	It is still a test tool, but it has the potential to help content development
Personal Administrativo	Direcciones Administrativas	25-34 años	Computadora,	1	No	Excellent help	Innovative questions	Presentations	I do not use it	I do not use it
Profesor	Facultad de Arquitectura, Diseño y Artes	35-44 años	Computadora,	1	No	"It can be useful to collect some basic information and clarify ideas, but the questions must be very precise to prevent the chat from ""inventing"" unlikely answers."	To consult about authors who deal with one or the other topic.	When the questions are very open. The bot tends to confuse disciplines.	To some extent, it is interesting and can help us to guide us. However, it does not prevent you from inquiring more information to corroborate Bot responses.	I have not used it to prepare classes, nor do I think I would. I consider that, instead of wearing myself finding the best way to ask for something like that, I could do it with less effort. However, if I want to get authors to consult a specific issue, I think it is very good as support.
Profesor	Facultad de Psicología	55-64 años	amistades,	2	No	Excellent if you know how to use. It is forcing us to teach, to be analytical, namely information that is public and increasingly easy to access.	In grouping specific information difficult to find by other means.	When used mechanically. Data is requested only to not do bibliographic research.	Little use	He is forcing us to stop being memorists and move on to higher levels.
Profesor	Facultad de Enfermería	55-64 años	Teléfono móvil,	1	No	Useful as long as it can be used properly	When I am looking for information summarized by some topic	When I prepare the class I do not use it	I do not have experience	I don't have much experience in the subject
Profesor	Facultad de Ingeniería	35-44 años	Computadora,Teléfono móvil,	7	No	There are no policies in terms of documentation generated by the tool, which can be legally delivered to the university. Example: duties, monographs, thesis, it is only enough for the request in a correct way and who is not the author of the document will not be perceived. [By chatgpt].	In all, a recipe, a routine, a database query, even if you want to assemble or disassemble a step by step.	I haven't found it useless	Delivery of tasks.	100 % labor, 50 % educational if one is analyzed or improve the response provided by the tool.
Personal Administrativo	Direcciones Administrativas	35-44 años	Computadora,	1	No	Accessing this tool, makes it easier for me to know issues related to family and home.	At home, curiosities, school	Labor	In my case. It is not favorable for work	In no way, since it is difficult to use this tool for my daily work activities.
Profesor	Facultad de Ciencias Administrativas y Contables	35-44 años	Computadora,	3	No	Really amazing, a radical change of humanity and future ..	PPT creation, check hypothesis	basic questions, presentations	positive so far	I think it is just starting disruption, since it will happen in 1 year and more touches to see
Profesor	Facultad de Medicina	35-44 años	Computadora,	2	No	What if used in a rational and ethical way is a good tool to contextualize data obtained in research	Syntax correction in paragraphs written in English of the introduction parts and theoretical frameworks.	It is a tool that I am just beginning to explore	Limited for now because I still have no understanding about the scope of the tool	For now, but I think that if there is training and guidelines are issued in the ethical field could be very useful
Profesor	Facultad de Arquitectura, Diseño y Artes	65 años o más	Computadora,	5	No	Excellent a great technological contribution	in general in the amplitude and speed to investigate	None	very good	In improving the methodology, the didactics of teaching
Profesor	Facultad de Ingeniería	45-54 años	Teléfono móvil,Computadora,	6	No	They are quite advanced, although sometimes not so precise, the understanding of language is surprising	To find specific information	Updated or too technical information	Application to facilitate the creation of presentations	He has simply facilitated it, not too much but it is expected that in the future it will be more
Profesor	Facultad de Economía	45-54 años	Computadora,	1	No	It must be promoted	Every scope, even Wolfram's expansion is important	It can be applied almost to any field	Amazing	forces to read concepts
Personal Administrativo	Direcciones Administrativas	25-34 años	Computadora,	8	No	It is very useful and allows to speed up the work	"Creation of Leads, Copys and scripts for social networks.
Guide and recommendation of books, authors of a specific topic sought"	So far I have had a good response from artificial intelligence, because I have used it with specific commands and guidelines, managing to satisfy my need.	Good. It helps me to generate knowledge that I don't have. Contrary to tools such as Google.	In a positive way, so that teachers and students have found in me a link for the use of the tool, without being a replacement of my functions, but an improvement in them.
Personal Administrativo	Direcciones Administrativas	35-44 años	Computadora,	1	No	It is a useful tool but it must be well directed.	random evidence to assess knowledge of Ecuadorian legal regulations	Introductions to documents	Positive, save time	As a family, I am worried that young people use it to avoid really reading the issues, the tool would do the tasks without major problem.
Personal Administrativo	Direcciones Administrativas	25-34 años	Computadora,Teléfono móvil,Tableta,	8	No	In some cases it helps to solve complex cases but it needs to be more accurate due to the writing it can have.	At the time of writing emails, collecting specific information and also solving problems of the different services of the university.	At the time of writing extensive things due to the bad writing and repetitive words used by chatgpt.	Sometimes good and bad because in some cases you cannot connect or cannot access services.	It helps a little in the use and download of work automating the tasks that can be taken.
Profesor	Facultad de Ciencias Humanas	55-64 años	Teléfono móvil,	10	No	Another tool of digital technology	I still can't find academic utility	I have not used it academically	I have no use at the university	Still in no way
Profesor	Facultad de Medicina	55-64 años	Computadora,	1	No	Very useful especially if it is well used to find summary information from many sources, in research.	None. They only copy what chatgpt responds and you can't check the copy per turnitin	All papers research and reading tasks	I do not use it at the university	Affects ethical quality and facilism for students
Profesor	Facultad de Comunicación, Lingüística y Literatura	45-54 años	ninguno aun,	1	No	It must be understood as a tool to help, not as a means of making any content	Writing, quick content search (not to quote)	Academic writing, because it is clumsy and it shows that it is written by a robot	I have not used much, my answer would not be reliable	We have to train us all: teachers, students, administrative to get the most out of this novel tool without finding ethical or legal issues
Profesor	Facultad de Ciencias Administrativas y Contables	55-64 años	No ingreso, no tengo necesidad.,	1	No	I have no idea	In none, so far	In all.	I have no experience, of anything	I do not believe anything
Profesor	Facultad de Psicología	45-54 años	Computadora,Teléfono móvil,	2	No	It is a good consultation tool although it can be a double edge weapon	"To consult specific issues about certain authors
To make travel itineraries"	To find information from 2021	It has helped me in specific issues	I have not used the tool so much and so that it has an influence on my work experience, except being more attentive to the use that students give it especially for the elaboration of essays
Profesor	Facultad de Ingeniería	45-54 años	Computadora,Teléfono móvil,	7	No	Extremely useful is an important support to understand the scope and advances at the level of artificial intelligence.	Association of Knowledge and Analysis of Opinions. Union of options, actions.	N/A	Positive	Better understanding of scope and immersion in technology and its possibilities.
Personal Administrativo	Facultad de Jurisprudencia	55-64 años	Computadora,	1	No	awesome	investigation	leisure	none	possibly in the speed of text writing
Profesor	Facultad de Medicina	35-44 años	Computadora,Teléfono móvil,	2	Si	It is a useful tool	In the generation of educational content	Antiplary systems that detect artificial intelligences	Good	I still don't see influence at the university
Profesor	Facultad de Enfermería	25-34 años	Computadora,Teléfono móvil,	6	No	Good tool but with some limitations, such as information on occasion	In previously valued documents synthesis	In the qualification or identification of quality of scientific articles	Sometimes the server fails which makes you have to start counting several times or open in another browser	It has been positive
Profesor	Facultad de Arquitectura, Diseño y Artes	55-64 años	No uso,	1	No	"It seems to me that it could be dangerous when uses and users do it in bad faith or ignorance.
The information that is uploaded could be manipulated with a partial way of looking at the world."	"When used as a tool and not as an end.
In photography and as information"	I have not used it.	N/A	He recognized when a student was not using his usual language he looked in Turnitin and could know what he was now copying with the AP you cannot recognize the copy because he uses other words.
Personal Administrativo	Direcciones Administrativas	35-44 años	Computadora,	1	No	Help simplify the information that a person needs	I have not had the opportunity to use this tool.	I have not had the opportunity to use this tool	none	has greatly influenced students
Profesor	Facultad de Enfermería	45-54 años	Computadora,	1	No	Useful to open the research perspective, the student uses the tool but requires analyzing and performing advanced search if he wants to understand something.	In the axis of history of understanding from several axes past situations or that require analysis	Discussion essays	useful if you know how to address	Teachers need to enrich our learning strategies
Personal Administrativo	Direcciones Administrativas	45-54 años	Teléfono móvil,	8	No	Very useful as a reference tool	To find industry data with which we can compare ourselves	When wondering ethical dilemmas	None	Define new approaches and content
Personal Administrativo	Direcciones Administrativas	17-24 años	Computadora,	4	No	It seems to me an effective tool that helps with concerns, the speed of information and language in which he explains it, makes it useful to understand and understand topics.	Regarding Oncology research	Regarding bibliography	It has done well, the experience has been pleasant	At the moment, it has helped me to synthesize information and understand
Profesor	Facultad de Ingeniería	55-64 años	Computadora,	9	Si	Professional Assistant with Summary of Concepts and Information in Natural Language	"In teaching:
- Preparation, topics, references, planning
- In classes: Student Assistant to compare results, proposals and concepts
- In evaluation: Generation of Question Banks"	"In teaching:
- In classes: Empathy with students
- In classes: adaptation of experiences to the current context and group of students"	Very good	"- Expansion of topics, concepts and proposals
- Quick location of bibliographic references
* Generation of new ideas of challenges and projects."
Profesor	Facultad de Medicina	55-64 años	ninguno,	1	No	I have not used it, it seems interesting if it is given good use.	I have not used	I have not used	I have not used	How students use it, you would have to adapt classes and tasks to that reality.
Estudiante	Facultad de Ingeniería	17-24 años	Computadora,Teléfono móvil,	9	Si	Chatgpt seems to me a sensational disruptive technology, which since its appearance has changed the global panorama about technology, since it is helping people with varied tasks both in academics, professional and personal.	Chatgpt has helped me a lot within the academic field, in my case being an engineering student with various tasks, programming, and even with English work.	There are situations in which Chatgpt is a bit inaccurate, and therefore I have trusted myself a lot in their answers that do not always convince other humans.	Very pleasant, it is a tool that the truth would have liked to appear much earlier.	It has helped me with many things in the subjects of my last semester, including my thesis, and gives me a lot in duties or evidence.
Profesor	Facultad de Psicología	55-64 años	Computadora,	5	No	Very good	clarifying questions on the topics that interest me	Na	I have not used it at the University	Mainly in the best understanding of some issues that I teach in classes
Profesor	Facultad de Medicina	45-54 años	Computadora,	8	No	It is a good alternative of artificial interaction	I have used it for personal benefit but I find it interesting if I could apply it with students	As I do not use as tasks I still don't see disadvantages	Fabulous personally!	I can ask questions that are answered by artificial intelligence
Profesor	Facultad de Economía	35-44 años	Computadora,Teléfono móvil,	3	No	When there is little time to review the research material is useful since many sources collects in seconds	For theoretical reviews or general reference of issues that require reviewing many sources or contrasting information	To reduce the search and contrast time	I have not encountered this situation has been for personal use to raise key information	I think it is a useful consultation tool but I have not had a frequent use
Profesor	Facultad de Medicina	55-64 años	Computadora,Teléfono móvil,	6	No	a quick tool as prima consultation that has to be valid	Historical Information, Medical Consultations	Specific medical consultations	I have not used it for university tasks, for consultations of the medical specialty I use the Up to date that the university does not provide us and we have to hire it particularly	I have not used it as a help tool for my teaching work
Profesor	Facultad de Comunicación, Lingüística y Literatura	55-64 años	Computadora,Teléfono móvil,	3	No	Interesting, but imperfect	Classes preparation, evaluation rubrics, preparation of presentations	Search for updated and reliable academic resources	It seems useful as the first approach or as a task assistant, always subject to thorough review	Support simple routine tasks
Personal Administrativo	Facultad de Ciencias Administrativas y Contables	35-44 años	Teléfono móvil,	1	No	I have tried the tool and I see that it generates a lot of information that can be useful for our day to day	I have used it out of curiosity	Doubts or for not having knowledge of any subject	It's like an Internet explorer but with clearer information	Reality is a tool that can help or harm the human being in higher education.
Profesor	Facultad de Enfermería	17-24 años	Teléfono móvil,	5	No	I have not practiced	I have not used	I have not occupied it	I have not occupied	I can't comment on the matter.
Personal Administrativo	Direcciones Administrativas	55-64 años	Computadora,	6	No	If it's an excellent tool	When it comes to information and sometimes communicate	In conversations with colleagues or friends.	Always receive indications and find out what happens in the Puce	Positively
Personal Administrativo	Direcciones Administrativas	25-34 años	Computadora,	4	No	It constitutes a very useful tool to optimize time and obtain ideas that can be complemented or discarded according to our preferences and uses.	Development of CopyS for post of social networks.	There are frequently too many people using the free version and it is not possible to access, or it is probably a strategy to force payment to use the tool and enjoy the Plus version, which would certainly not access.	Good, it has allowed me to optimize time, agility the required activity and have more time for other activities.	Positively, it helps me optimize time in the elaboration of texts for social networks, I have not used it for the realization of other activities.
Profesor	Facultad de Ciencias Exactas y Naturales	35-44 años	Computadora,	5	No	I think that if you know how to use properly, for information search purposes and as support for teaching, it is a very powerful tool.	In teaching, I have used chatgpt to request rubrics options and other evaluation methods. In research, I have used the tool to improve English texts written by me in scientific and dissemination articles.	I do not find it useful for the search for scientific articles and very old information.	So far, for the tasks I have used, the experience has been positive.	Definitely, for the tasks I have used, it has meant the significant reduction of time I use in the generation of rubrics, other methods of evaluation and editing of academic texts.
Personal Administrativo	Facultad de Arquitectura, Diseño y Artes	25-34 años	Teléfono móvil,No utilizo ,	1	No	I have not used it	I have not used chatgpt	I have not used chatgpt	I have not used chatgpt	I have not used chatgpt
Personal Administrativo	Direcciones Administrativas	45-54 años	Teléfono móvil,	1	No	It is an interesting tool that can be useful for omitting repetitive works and that people can devote themselves to more value activities.	I have used it only out of curiosity, so I have not applied it to my work or to other important activities	Cannot generate a good joke	I have not used it at the University	It has not influenced
Personal Administrativo	Direcciones Administrativas	35-44 años	Computadora,	2	No	It is a tool that, being that, a tool, can be useful to execute various activities or as a source of consultation, however, it also represents a medium -term threat in different aspects, work for example, In the academic a serious threat can be the same.	The little or almost nothing that I have used has been as a source of consultation	Guide to write a document	I have not used it in the university but in the personal sphere.	Because I have not used it mostly, I do not believe in my activities.
Profesor	Facultad de Ciencias Administrativas y Contables	55-64 años	Computadora,Teléfono móvil,	5	No	It is an excellent tool if it is properly used as a complement to the teaching -learning processes, with the validations of the case	Check concepts, theories, etc.	Problem resolution	Useful and in a short time find answers	Knowledge and experience complement
Personal Administrativo	Facultad de Ciencias Exactas y Naturales	55-64 años	NO DISPONGO,	1	No	I DO NOT USE	I DO NOT USE	I DO NOT USE	I DO NOT USE	I DO NOT USE
Personal Administrativo	Direcciones Administrativas	45-54 años	Computadora,	3	No	Interesting to consult quickly or exchange concepts	Clarify concepts, actions, definitions that I know, but for lack of use I can doubt	none	good	not yet
Profesor	Facultad de Ciencias Exactas y Naturales	35-44 años	Computadora,	2	No	Useful. To be used with caution.	Simple tasks that help make time.	"Complex tasks linked to statistical analysis for example, or search for information sources that the tool itself ""generates"""	Regular.	Not much yet. But it will definitely be as revolutionary as the Internet was in the 90s to this day.
Personal Administrativo	Facultad de Comunicación, Lingüística y Literatura	35-44 años	Computadora,Teléfono móvil,	4	Si	A very useful and versatile tool	In generation of content in sections that I usually need	Infographic creation	Good	Facilitation of some processes
Profesor	Facultad Internacional de Innovación PUCE – Icam	35-44 años	No lo utilizo todavía.,	1	No	It can be a tool to strengthen learning, so much that it can be a threat to replace the learning process.	My students to verify their work or correct problems they have had.	N/A	N/to see answer above my students.	Idem
Estudiante	Facultad de Economía	17-24 años	Computadora,	7	No	Very useful	To be able to write or ask for explanation	When I request links	Use to write	Facilitates learning
Estudiante	Facultad de Arquitectura, Diseño y Artes	17-24 años	Computadora,Teléfono móvil,	3	No	It serves to enter into rapid context of certain topics	To search for sources or a context of something that is not usually found quickly	Urban themes	It is useful but it does not always have successes	I don't think it has influenced
Estudiante	Facultad de Psicología	17-24 años	Computadora,	5	No	It seems to me that it is very useful for collecting information from different sources and to summarize information, I think it is a very useful tool that saves us time and allows us to focus on more important things	Summaries or theoretical frames	Personal essays or answers	N/A	N/A
Estudiante	Facultad de Ingeniería	17-24 años	Computadora,Teléfono móvil,	6	No	It is a very useful tool to look for specific content	To have quick and concise answers	When it comes to more current issues	Very good	Facilitates search for tasks
Estudiante	Facultad de Medicina	17-24 años	Ninguna,	1	No	Very useful, but there are better. It all depends on the use that is given, but it is definitely a very good tool	For tasks, research, etc.	I do not know haha	I have never used it for the U	I have not used it
Estudiante	Facultad de Ingeniería	25-34 años	Computadora,	5	No	It is a very useful tool	throughout	In every aspect it is useful	N/A	N/A
Estudiante	Facultad de Ingeniería	17-24 años	Computadora,Teléfono móvil,	8	No	Very important, it is very helpful, however, it has a mistake	Tasks, paraphrase, advice, interpretations	When it takes to answer on the Internet	Quite good, I have achieved tasks conscientiously with the help of AI	Optimize time
Estudiante	Facultad de Economía	17-24 años	Computadora,Teléfono móvil,	6	No	Very good tool to synthesize research	Research	Research	Good	Yeah
Estudiante	Facultad de Arquitectura, Diseño y Artes	17-24 años	Computadora,Teléfono móvil,	8	No	It is a surprise tool and that can answer issues from different areas as well as advise you. The paradigm of society really changes.	To solve general doubts or when my mind is blank I use it as a base and then polish it.	The free version of Chat GPT is not so good in the mathematics section still makes some mistakes. Likewise, it is limited for text and images, but I still believe that multimodality will arrive sooner or later.	N/A	It has given me the opportunity to simplify tedious tasks and in some cases obsolete of the education paradigm.
Estudiante	Facultad de Ciencias Administrativas y Contables	17-24 años	Computadora,Teléfono móvil,Tableta,	6	No	It is as revolutionary as Google was at the time, we will not stop learning simply we will have more tools to do it better	Tasks that lead to research and creation of new ideas	It is a good way to understand concepts in a simple way and with more examples than we could normally find	Most teachers have no problem that we use that tool and encourage us to get the best out	It has influenced a lot since I do not have great ability to write essays and reports and is a good guide to know the way to follow
Estudiante	Facultad de Ingeniería	17-24 años	Computadora,Teléfono móvil,	8	No	It helps quite a specific information that is not found in Google	In responses to programs and summaries	It does not help much to find data within norms or codes.	It serves as a lot of help	Quite
Estudiante	Facultad de Ciencias Filosófico – Teológicas	25-34 años	Teléfono móvil,	1	No	A useful tool to find quick and concise responses for any topic.	When I want to summarize an idea that has an extensive meaning.	Deepest research tasks.	Positive experience when I have searched for short and concise responses, but not deeper research.	It has helped me to summarize some ideas short and concise.
Estudiante	Facultad de Ciencias Exactas y Naturales	17-24 años	Teléfono móvil,	1	No	I don't like AI a lot. They are useful but simplify jobs that we should do. The advice that gives are useful	I have used it to choose the design of presentations and how to create a good introduction	essays	Normal, it has not been the most useful thing I have found but it is good	Simplifies some activities but replaces many others that should not
